recipe_id,heat_process,yield
S0CI,70°C for 10 min,95.06
DT2X,Unknown,97.97
R3Q9,20°C for 60 min,93.07
K64B,Unknown,92.89
JEXK,Unknown,92.65
V6HE,Steaming,91.77
WQ41,Unknown,93.33
BQRE,Unknown,93.35
2G70,Unknown,99.63
J4ME,Unknown,94.36
79J0,Freezing for 20 min,98.79
FWR8,20°C for 60 min,92.75
TQEY,Unknown,94.98
5NMW,Unknown,90.69
M23E,Freezing for 20 min,96.72
EVPY,Unknown,93.41
238X,50°C for 10 min,92.25
OW2Q,Freezing for 20 min,97.06
49DF,Unknown,99.84
OXW4,Unknown,96.71
TQSH,Unknown,93.73
ZS1D,Unknown,92.61
H5LI,20°C for 60 min,92.76
LOQ9,Steaming,92.57
C7X3,Unknown,96.38
0LE8,70°C for 10 min,96.51
W6AN,Unknown,90.75
300H,Unknown,90.43
AAUB,Unknown,87.04
KD00,Unknown,98.65
BUMC,Unknown,96.63
VU97,Freezing for 20 min,36.5
WQPJ,Unknown,93.12
JT1I,Unknown,99.95
ZAZL,Freezing for 20 min,91.76
YVR2,Unknown,95.24
36LP,Unknown,97.0
K9UG,Unknown,95.3
DW7H,Freezing for 20 min,99.32
U75N,Unknown,98.86
3WXH,50°C for 10 min,94.42
8VIG,Unknown,97.85
0LAM,20°C for 60 min,96.37
460L,Unknown,90.56
LAYR,Unknown,24.34
8MNF,Unknown,21.34
1CKQ,Unknown,95.34
7QUR,Unknown,97.91
JPA5,Freezing for 20 min,90.55
JG5E,Unknown,92.4
X5ID,50°C for 10 min,90.54
N5LC,Unknown,95.52
PQ8Q,Unknown,93.24
X33Q,Unknown,90.95
JIT6,Steaming,99.26
ALOB,20°C for 60 min,99.14
0IH4,Unknown,90.83
ZUWE,Unknown,59.9
K7CZ,Unknown,98.87
84BG,Unknown,95.26
MCL6,Unknown,97.42
FVSH,20°C for 60 min,90.16
OKOX,Steaming,92.78
LO4W,Unknown,77.57
ZII9,Unknown,97.55
1ID7,70°C for 10 min,90.17
UW4N,Unknown,93.4
MO67,Unknown,99.46
AHJJ,Unknown,95.13
NQDX,Unknown,90.72
MC1Q,Unknown,92.48
LCCB,Unknown,27.42
1BMN,Freezing for 20 min,94.32
5FQ5,Unknown,92.62
17VJ,Unknown,91.77
O88Q,50°C for 10 min,94.12
XLUL,Unknown,90.71
X1D5,Unknown,96.35
1UIH,Unknown,62.55
844A,20°C for 60 min,97.22
NU0P,Unknown,92.81
Q8XY,50°C for 10 min,91.2
0CQ8,Freezing for 20 min,91.22
SSB4,50°C for 10 min,90.92
2B36,Unknown,99.27
M9AT,Unknown,96.36
3UQO,Unknown,32.98
49EK,Unknown,94.2
HCM0,Unknown,95.59
KSSO,Unknown,98.07
Z5HT,Unknown,95.76
0OJ0,Unknown,98.44
4KAI,Unknown,90.85
N50R,Unknown,95.3
SF8H,Unknown,91.63
WBT9,Unknown,90.46
3GMD,Unknown,92.33
J9DT,Steaming,91.84
IQ8R,Unknown,95.36
1Z7W,Freezing for 20 min,96.25
044R,Unknown,62.57
NAJU,Unknown,97.49
TEEU,Unknown,96.37
M2VK,Unknown,90.51
IYRE,50°C for 10 min,98.54
2DFO,70°C for 10 min,91.53
JUX2,50°C for 10 min,92.72
6M1H,50°C for 10 min,52.1
RXK2,Unknown,31.93
AXSS,Freezing for 20 min,94.92
D3GD,Unknown,91.15
JU2H,Unknown,93.99
YVJV,Unknown,90.73
5CPO,Unknown,97.86
5BJ5,50°C for 10 min,90.47
6CO7,Freezing for 20 min,91.92
N0TP,Unknown,97.64
8UZQ,70°C for 10 min,98.6
ILJZ,70°C for 10 min,95.82
EH39,Unknown,90.07
Z10K,Unknown,92.2
Q28O,Unknown,96.06
FUOE,Unknown,93.78
BRQG,Unknown,94.63
4MW7,Unknown,90.39
4YRJ,Unknown,75.18
MA9M,Freezing for 20 min,98.99
NV4I,Unknown,91.09
SDQ5,Unknown,95.5
VXMC,50°C for 10 min,92.88
0CHH,50°C for 10 min,68.6
5VZQ,Steaming,91.22
XL3T,Unknown,95.83
DD7C,Unknown,95.66
A53N,Unknown,90.9
PQNP,50°C for 10 min,96.82
TJC7,Unknown,90.34
HYHE,Steaming,95.16
QTC7,Unknown,96.49
V01Y,Unknown,96.09
A72V,50°C for 10 min,97.73
XGZE,Unknown,98.16
J9WV,Unknown,97.64
KNOC,Unknown,99.87
FEQN,70°C for 10 min,99.44
80ZI,Steaming,96.26
F38Z,Unknown,99.95
Y06F,Unknown,91.83
BT0J,70°C for 10 min,98.79
9FMN,Unknown,97.0
7HI2,Unknown,31.26
VW16,Unknown,93.09
WR29,Unknown,91.48
XFFC,Unknown,97.46
WRZ7,Unknown,99.8
MDNT,20°C for 60 min,92.75
C2VB,Unknown,94.58
2L10,Unknown,91.84
S4CS,Unknown,93.59
P0UW,Unknown,98.93
BZD5,Unknown,92.98
9JYB,Unknown,92.56
NEAK,Unknown,98.83
WQQA,Unknown,92.33
C1L1,20°C for 60 min,93.37
Z1MQ,50°C for 10 min,98.9
WHI5,Steaming,94.57
D6NO,Unknown,90.08
WS09,Unknown,92.05
CQK4,Unknown,94.93
E17V,Unknown,98.83
YK81,Unknown,98.17
VP9L,Unknown,93.64
ZUHI,Unknown,94.26
U5Z5,20°C for 60 min,94.2
ZQTZ,Unknown,90.83
45JG,Freezing for 20 min,90.04
W8KO,Unknown,92.26
Z85C,Unknown,94.1
1TBW,Freezing for 20 min,95.19
56AW,Unknown,94.31
OHSR,Unknown,94.76
3CGL,Unknown,95.3
N9ZQ,50°C for 10 min,95.22
7YWM,Unknown,94.88
OGTQ,Freezing for 20 min,92.08
DE7V,70°C for 10 min,93.48
E7VZ,Steaming,93.51
0NEP,Unknown,98.89
Q8YX,Unknown,91.98
SV5H,Unknown,90.1
3J4Q,Unknown,53.25
9N3D,Unknown,94.25
7IQT,Unknown,95.03
3RGE,Unknown,99.36
BGYD,Steaming,94.03
WSJ5,20°C for 60 min,95.67
WKZ8,Freezing for 20 min,91.89
0U20,Unknown,96.69
R50N,50°C for 10 min,90.37
4H26,Unknown,45.75
N4IZ,Unknown,94.45
7T66,Freezing for 20 min,94.9
R5S7,Unknown,97.16
PD46,Unknown,93.38
9NLG,Unknown,50.39
5WV7,Steaming,92.06
DE5O,Unknown,99.48
RTZ6,Unknown,90.12
DGMC,Steaming,90.63
7UFV,Unknown,99.63
AT2B,Unknown,97.71
SMFK,Unknown,99.55
A24Q,Unknown,52.6
P9X6,Unknown,99.19
IUNE,Unknown,91.48
11W1,Unknown,97.43
5OEB,70°C for 10 min,95.35
NLNY,Unknown,96.88
2Z7K,20°C for 60 min,93.36
N0FC,Unknown,99.27
H6VW,Unknown,93.34
E6F3,70°C for 10 min,96.7
XU4U,Unknown,93.48
9L78,50°C for 10 min,98.18
GBG8,Unknown,92.6
4HPM,Unknown,95.35
ZSPI,Steaming,98.56
X2I2,Unknown,95.24
I1GD,Freezing for 20 min,96.85
XJN0,Unknown,92.39
4MBB,Unknown,90.77
3GVZ,Steaming,96.78
G7FT,Unknown,93.69
97VM,Steaming,91.3
KHEQ,Unknown,97.55
5W0V,Unknown,98.98
5A9W,Unknown,95.3
W3DZ,Unknown,92.7
Z1BZ,Unknown,94.69
AV9A,Unknown,98.86
1TD8,Unknown,92.54
8JU6,Steaming,93.55
U1D2,Unknown,99.19
NNUE,Steaming,91.17
S4P8,Unknown,92.56
YQ04,Unknown,91.29
EQD4,Unknown,92.09
TZEQ,70°C for 10 min,97.56
TBUJ,Unknown,95.38
SVMC,Unknown,94.46
UJGU,Unknown,91.29
0Z7O,Unknown,92.9
Q5X9,70°C for 10 min,95.76
33SK,70°C for 10 min,68.79
7J4D,Unknown,41.45
2W3F,Unknown,91.62
N113,20°C for 60 min,98.98
2065,70°C for 10 min,95.03
V9JF,Unknown,93.69
QWJN,Unknown,97.52
IVLE,Unknown,94.36
ZXSP,Unknown,94.03
Y1OP,Unknown,53.51
RY9J,Freezing for 20 min,91.18
XYRO,Unknown,90.04
WNYE,Unknown,96.54
UP1T,Freezing for 20 min,73.21
W7VJ,Steaming,92.6
TSEV,Unknown,93.02
2QCJ,Unknown,93.2
3KRF,Unknown,98.98
HYXG,Unknown,99.84
ICIJ,70°C for 10 min,96.98
ZSOS,Unknown,93.53
GAUH,70°C for 10 min,91.5
V7YO,Unknown,94.78
2YWL,Unknown,92.09
2T59,Unknown,90.31
V7BH,Steaming,74.56
II30,Unknown,95.92
DAXL,Steaming,92.9
V9XF,Steaming,92.44
7TS2,20°C for 60 min,95.51
A0T2,Unknown,92.7
XBDI,Unknown,90.84
HCG4,Freezing for 20 min,92.26
993X,70°C for 10 min,90.95
BMWM,Unknown,92.22
0WUM,Unknown,95.77
B88K,70°C for 10 min,94.85
0N0W,Unknown,93.15
TDJV,50°C for 10 min,93.56
OZNY,Unknown,96.52
H127,Unknown,97.0
5MJJ,Unknown,95.67
O2ZN,Unknown,96.57
7TYF,Unknown,63.51
195B,50°C for 10 min,91.73
SIFP,50°C for 10 min,95.01
Q69T,Unknown,96.42
Q3TH,Freezing for 20 min,94.65
CT63,20°C for 60 min,94.82
96L9,Unknown,92.53
WNXX,Unknown,92.73
RSP3,Unknown,91.15
32EQ,Unknown,94.55
CZLD,20°C for 60 min,91.43
ZW5Z,Unknown,99.77
26M0,Unknown,95.44
P63P,Steaming,99.86
0EHW,Unknown,91.4
VEKA,20°C for 60 min,97.64
6U31,Unknown,90.87
CE4S,Freezing for 20 min,92.54
DXZ8,Unknown,92.94
L7E7,50°C for 10 min,90.62
K0RU,Steaming,93.38
DBUG,70°C for 10 min,94.88
KN2J,70°C for 10 min,91.81
DGTG,Unknown,98.61
HL63,Freezing for 20 min,98.56
BCIU,Freezing for 20 min,61.4
4EF7,Unknown,96.46
0US0,Unknown,91.87
VR8Q,Unknown,91.8
K84F,Steaming,98.54
KYGQ,Unknown,94.62
KHAQ,Steaming,96.84
V2ZQ,Unknown,92.78
3FBH,Unknown,96.81
X2TV,Unknown,39.35
YIBC,Unknown,97.92
EQRN,Unknown,90.05
2EUB,Unknown,92.35
40AU,Unknown,97.59
X69X,Unknown,91.21
IK23,Freezing for 20 min,98.65
RJ8Q,Unknown,96.72
D3Q8,Unknown,91.99
FF9G,Unknown,94.48
CPKJ,Unknown,92.11
OE9C,Unknown,98.87
APWQ,Unknown,87.31
37PG,20°C for 60 min,98.33
GBHA,Freezing for 20 min,90.99
E4AM,70°C for 10 min,98.48
RRDY,Unknown,97.16
9ULU,Unknown,94.19
QXPL,20°C for 60 min,93.28
2BYN,Freezing for 20 min,95.21
62IP,Unknown,92.26
LHBG,Unknown,97.55
PLSB,70°C for 10 min,96.35
9PL2,Unknown,99.18
XPAH,Unknown,95.14
5H9H,20°C for 60 min,99.36
MXWV,Steaming,99.24
F18E,Unknown,71.35
7U9O,Steaming,93.14
06ZI,Unknown,96.15
3DAN,Unknown,93.21
JQ54,Freezing for 20 min,92.26
KJGK,Unknown,96.76
RB6G,Unknown,91.14
B9PE,Unknown,98.55
NLUZ,Freezing for 20 min,91.2
K4OH,Unknown,95.55
DPCY,20°C for 60 min,96.1
N6OE,Unknown,92.31
THAR,Unknown,91.62
D5ML,Unknown,92.05
FVVK,Steaming,98.78
KJZ8,Unknown,97.04
VB1M,Unknown,93.0
